TestNo,GroupName,ChannelName,Description,Inst_InsCom,Inst_Axis,Unit,Inst_SenAtt
10963,v10963_Veh1,10FORALERE00AC1P,"v10963_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.054s, max@0.0277s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
10966,v10966_Veh1,10FORALERE00AC1P,"v10966_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0332s, max@0.0232s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
10970,v10970_Veh1,10DOORLERE00AC1P,"v10970_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0606s, max@0.0199s",LEFT REAR SILL AX,XG,gn,DSLR
10971,v10971_Veh1,10SEATLERE00AC1P,"v10971_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.02735s, max@0.03025s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
10974,v10974_Veh1,10SEATLERE00AC1P,"v10974_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0346s, max@0.02915s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
10976,v10976_Veh1,10SEATLERE00AC1P,"v10976_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=2000; min@0.0376s, max@0.02744s",CROSSMEMBER LEFT REAR X,XG,gn,SELR
10977,v10977_Veh1,10DOORLERE00AC1P,"v10977_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0188s, max@0.0171s",LEFT REAR SILL AX,XG,gn,DSLR
10982,v10982_Veh1,10FORALERE00AC1P,"v10982_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0391s, max@0.0385s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
10986,v10986_Veh1,10SEATLERE00AC1P,"v10986_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.04245s, max@0.0225s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
10988,v10988_Veh1,10FORALERE00AC1P,"v10988_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0422s, max@0.0416s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
10993,v10993_Veh1,10DOORLERE00AC1P,"v10993_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0407s, max@0.0242s",LEFT REAR SILL AX,XG,gn,DSLR
10999,v10999_Veh1,10SEATLERE00AC1P,"v10999_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.03905s, max@0.04495s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
11047,v11047_Veh1,10SEATLERE00AC1P,"v11047_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0117s, max@0.0143s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
