test_id,left_channel,right_channel,body_source,engine_channel,engine_status,engine_duration_ms,whel_channel,energy_ratio,calc_crush_mm,calc_peak_g,status
7322,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,643.9,19.78,Valid
7336,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Short (50.0ms),50.0,10WHELLE0000AC1P,1.005,568.5,21.98,Valid
7339,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.002,754.5,34.7,Valid
7342,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.002,626.1,53.59,Valid
7347,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.01,717.9,34.04,Valid
7350,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Short (50.0ms),50.0,10WHELLE0000AC1P,1.011,979.0,48.97,Valid
7357,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.001,657.1,32.01,Valid
7358,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,596.3,48.9,Valid
7359,10SEATLERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,10WHELRI0000AC1P,1.004,656.1,35.6,Valid
7360,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.002,631.5,36.57,Valid
7362,10FORALERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,0.237,227.0,22.76,Outlier
7370,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.002,694.1,42.26,Valid
7371,10DOORLEFR00AC1P,,Comprehensive_Optimization_10only,,Missing,0.0,,0.846,5598.4,50.35,Outlier
7375,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Short (80.0ms),80.0,10WHELLE0000AC1P,1.005,956.4,40.62,Valid
7393,10FORARIRE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.002,682.8,39.45,Valid
7417,10FORARIRE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.001,1094.4,47.72,Outlier
7419,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.001,810.1,34.02,Valid
7440,10FORALERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,610.2,41.08,Valid
